; 1/30/2011; 14:35
; Experimenter's name: jd
; Subject's name: jd
;Col -- 1 Condition 0 = Contrast, 1 = center, 2 = perif, 3 = no lines
;Col 2 -- Top slope
;Col 3 -- Mid slope
;Col 4 -- Bottom Slope (720 signifies no lines)
;Col 5 -- Orientation (not used)
;Col 6 -- Gap (not used)
;Col 7 -- pse in distance in pixels above or below the standard.
;Col 8 -- pse in degrees departure from horizontal.
;Col 9 -- Number of adjustments, i.e., up and down arrows typed.
0 35 -35 35 0 20 3 0.687516354639 5
0 35 -35 35 0 20 4 0.916654256385 4
0 -25 25 -25 0 20 11 2.51938929121 5
0 25 -25 25 0 20 -2 -0.458356458 7
0 5 -5 5 0 20 -1 -0.229181895754 10
0 -25 25 -25 0 20 11 2.51938929121 4
3 720 720 720 0 20 4 0.916654256385 7
3 720 720 720 0 20 4 0.916654256385 14
0 -15 15 -15 0 20 8 1.83283950594 5
0 -15 15 -15 0 20 8 1.83283950594 5
0 -5 5 -5 0 20 8 1.83283950594 6
0 -35 35 -35 0 20 7 1.60386277115 5
0 -35 35 -35 0 20 3 0.687516354639 12
0 -5 5 -5 0 20 8 1.83283950594 3
0 15 -15 15 0 20 -1 -0.229181895754 11
0 15 -15 15 0 20 -2 -0.458356458 6
0 25 -25 25 0 20 -1 -0.229181895754 3
0 5 -5 5 0 20 2 0.458356458 3
1 720 -25 720 0 20 1 0.229181895754 2
1 720 5 720 0 20 6 1.37483478057 6
1 720 35 720 0 20 9 2.06175769076 2
1 720 -5 720 0 20 2 0.458356458 6
1 720 35 720 0 20 3 0.687516354639 6
1 720 -35 720 0 20 2 0.458356458 3
3 720 720 720 0 20 3 0.687516354639 2
1 720 15 720 0 20 7 1.60386277115 3
1 720 -5 720 0 20 3 0.687516354639 5
1 720 -35 720 0 20 2 0.458356458 3
1 720 5 720 0 20 5 1.14576283818 4
1 720 -15 720 0 20 4 0.916654256385 4
1 720 25 720 0 20 8 1.83283950594 6
1 720 -15 720 0 20 2 0.458356458 2
1 720 15 720 0 20 6 1.37483478057 2
1 720 25 720 0 20 6 1.37483478057 5
3 720 720 720 0 20 6 1.37483478057 3
1 720 -25 720 0 20 3 0.687516354639 5
3 720 720 720 0 20 5 1.14576283818 4
2 35 720 35 0 20 6 1.37483478057 11
2 -5 720 -5 0 20 6 1.37483478057 4
2 -25 720 -25 0 20 3 0.687516354639 5
2 15 720 15 0 20 4 0.916654256385 17
2 35 720 35 0 20 2 0.458356458 22
2 -25 720 -25 0 20 1 0.229181895754 4
2 -35 720 -35 0 20 3 0.687516354639 3
2 -15 720 -15 0 20 5 1.14576283818 4
2 5 720 5 0 20 3 0.687516354639 12
2 15 720 15 0 20 3 0.687516354639 4
2 -35 720 -35 0 20 5 1.14576283818 21
2 25 720 25 0 20 6 1.37483478057 4
2 -5 720 -5 0 20 7 1.60386277115 3
2 25 720 25 0 20 5 1.14576283818 4
3 720 720 720 0 20 8 1.83283950594 6
2 5 720 5 0 20 6 1.37483478057 2
2 -15 720 -15 0 20 3 0.687516354639 3
